id,created_at,text,media_url
700036532367859712,2016-02-17 19:18:10,Honored to be hosting #TED2016 live stream @theCenter #TEDSF. Share your #myTEDdream for the future. https://t.co/7HO1IQ22bJ,http://pbs.twimg.com/media/CbcHgu3UUAA6M5r.jpg
688016692727951360,2016-01-15 15:15:36,RT @BreakingPlastic: 6 reasons for eliminating plastic. #plastic #environment @5gyres @PlasticPollutes @implicitweet https://t.co/80zQEveWJu,http://pbs.twimg.com/media/CYul522UsAAwDUo.png
681180079657861120,2015-12-27 18:29:21,"RT @LeilaniMunter: Check mate, fossil fuels. #COP21 #ParisAgreement https://t.co/XkzFviCXwn",http://pbs.twimg.com/media/CWDmudWUsAAqZG8.jpg
680120556906127360,2015-12-24 20:19:11,"RT @DSWT: This year, DSWT/KWS Vet Units treated &gt;195 injured #elephants, relieving them from unimaginable suffering https://t.co/OBFfxNoGvL",http://pbs.twimg.com/media/CW_I3puWEAAjOCp.jpg
627079013513695232,2015-07-31 11:31:02,RT @whatsyurimpact: Cracking the code of #recycling http://t.co/G9EAu0xbvR http://t.co/qd9H7IpLZd,http://pbs.twimg.com/media/CLMLK-cXAAA12IL.jpg
622421819014774784,2015-07-18 15:05:00,RT @whatsyurimpact: Which Plug-In Is Right for You? Take This Short Quiz to Find Out #PEV http://t.co/04XIDPN5kb http://t.co/1iux9spDTF,http://pbs.twimg.com/media/CKMg2pNWwAA__SL.png
622284495228547072,2015-07-18 05:59:19,RT @ShiCooks: New Study: How #Climate Change Is Wiping Out #Bumblebees http://t.co/mcQrlmNjKS #bees #science http://t.co/4ZMkOyV07Y RT @Ale…,http://pbs.twimg.com/media/CJf6tP4UAAAb_M_.jpg
621902921446232064,2015-07-17 04:43:05,"RT @BrittMichaelian: Alison Pincus.- ( Co-Founder, One Kings Lane) Women Leaders #quote
https://t.co/FQRwpsxQY9 http://t.co/xK3XkpiTUD",http://pbs.twimg.com/media/CKAecxoWcAE0leB.jpg
621320446777036800,2015-07-15 14:08:32,"RT @ClimateReality: ""We must set a timetable for change.” Retweet if you agree with @DalaiLama on the #RoadToParis. http://t.co/lgq86yA4Bz",http://pbs.twimg.com/media/CJ8AjFFWsAA0mRP.jpg
621320315893776385,2015-07-15 14:08:01,RT @Jackthelad1947: Is this the wind turbines @TonyAbbott finds so obscene? #Auspol #WApol #NSWpol Just beautiful 💞🌏💞 http://t.co/dJMUhKVJvV,http://pbs.twimg.com/media/CJsrpxOUAAAhWaS.jpg
540719668374163457,2014-12-05 04:09:49,RT @JimHarris: Most Muscled Animal in the Jungle is #Vegan. Love this Bizzarro #Cartoon! #Vegetarian http://t.co/jrN8XMYd6y,http://pbs.twimg.com/media/B4ECVT-IgAA7jwR.jpg
536958882283651072,2014-11-24 19:05:48,RT @Expo2015Milano: Discover our Instagram account http://t.co/lgraLBI12f #StreetFood #Food http://t.co/RJt1ZhVjjz,http://pbs.twimg.com/media/B3NAwVzCQAAltoV.jpg
536016586016972800,2014-11-22 04:41:27,Let's all join the incredible @goldiehawn #HawnFoundation for her birthday. @MindUP4Success is life changing. http://t.co/UtUdrRLKgD,http://pbs.twimg.com/media/B3BQOXkCQAE9toH.jpg
535480404078112768,2014-11-20 17:10:51,"Woo hoo, found some #organic brew (coffee) #LAAutoShow http://t.co/QTtVdwgNyW",http://pbs.twimg.com/media/B25oleRCYAAj0Su.jpg
529846751847804928,2014-11-05 04:04:44,Thrilled to be w/ @mcj2samuel at the exciting premier of #MasterChefJR! Tune in now: @fox 8pm http://t.co/DRfGDnQ6kw http://t.co/TIneg1HD1U,http://pbs.twimg.com/media/B1pkvt0CcAEK51a.jpg
527670573447802880,2014-10-30 03:57:23,RT @jeremygutsche: 16 Scary Places to Visit - From Undead Eateries to Haunted Hotels http://t.co/uRQm42D9ZD #World http://t.co/KrBCsbdn7Q,http://pbs.twimg.com/media/B1KotZeIIAA8LJt.jpg
527670029232664576,2014-10-30 03:55:13,RT @jamesjoaquin: #madbum #MVP http://t.co/kUXXQ9pkJF,http://pbs.twimg.com/media/B1KpD4LCIAAKsXf.jpg
513418058459664385,2014-09-20 20:02:58,At @dawncai624 is right. @FoSTorg is amazing #fost2014 looks like best ever! #futureofstorytelling #snugharbor http://t.co/vtH6VoV9zT,http://pbs.twimg.com/media/Bx_-PgdCIAIMwjV.jpg
511513034431283200,2014-09-15 13:53:05,#LevisStadium is beautiful! Most beautiful feature? The @nrgenergy solar terrace! @jamesjoaquin agrees! http://t.co/p7gftC9fhd,http://pbs.twimg.com/media/BxlCZN8CMAAhTX7.jpg
505782678457573376,2014-08-30 18:22:42,"Fun #tailgating on @goodmorningsd. @DanPlante, thx to ""nominative determinism?"" loves @BeyondMeat &amp; @MBUSA B-class! http://t.co/jjKSL0GY0p",http://pbs.twimg.com/media/BwTmqmhCAAABjwc.jpg
505618814483324928,2014-08-30 07:31:33,KCAL is a wrap. Talking about @ecofabulous #tailgating on @GoodMorningSD at 8:20am. +see the new #EV @MBUSA B-Class! http://t.co/1KecboJQZ1,http://pbs.twimg.com/media/BwRRobPIEAAK5UT.jpg
503197540951814145,2014-08-23 15:10:17,Obsessed w/ the outdoor gym @BardessonoHotel in #yountville. I need it after indulging in all that's organic &amp; local http://t.co/1bVcX7rJSG,http://pbs.twimg.com/media/Bvu3frYCIAEJ6BB.jpg
483491490442649600,2014-06-30 06:05:28,Final #supercharger on emission &amp; gas-free 4 girl road trip. Love @TeslaMotors! Could have made it in 2 30 min stops. http://t.co/9IWs320uDG,http://pbs.twimg.com/media/BrW08m5CIAAXRYL.jpg
483308082802352128,2014-06-29 17:56:41,2nd #supercharged @TeslaMotors powered emission/gas-free road trip! http://t.co/1VrAbdHbzk,http://pbs.twimg.com/media/BrUOI7QCUAAY6G3.jpg
482030719695216641,2014-06-26 05:20:53,RT @SirRalphington: Just loungin' after too many birthday treats #miloskitchen #livingthedream http://t.co/0pE1sgpi7E,http://pbs.twimg.com/media/BaDAWTRIMAAJ7n-.jpg
481306462677778432,2014-06-24 05:22:57,RT @BarackObama: Solar energy is more accessible than you think: #ActOnClimate in your own community. #PutSolarOnIt http://t.co/XYJ38HoaQj,http://pbs.twimg.com/media/Bqq98LRIQAAGsSQ.png
480852834800250880,2014-06-22 23:20:24,Meditated in AZ with the spectacular @CharlieKnoles. #feelingblessed #happy #thankful http://t.co/NaMJeTnU5A,http://pbs.twimg.com/media/BqxVGtaCUAI2diY.jpg
478780493593202689,2014-06-17 06:05:39,RT @350: We can't think of a worse place to put a huge coal terminal. Can you? #FightfortheReef http://t.co/flCucsPn4o,http://pbs.twimg.com/media/BqT3h3RIcAAkcDL.jpg
478780350412234753,2014-06-17 06:05:05,RT @Oxfam: Eliminating #inequality &amp; the threat of climate change key to #post2015 goals http://t.co/xYRzUfaqqE #SDGs http://t.co/HzXzGFw94N,http://pbs.twimg.com/media/BqTPU5FCAAASgSR.jpg
477936192449548288,2014-06-14 22:10:42,"RT @hillarybiscay: ""The best things are hard. Invest in the journey. #noshortcuts"" -@richroll #revitalize http://t.co/sIYx7J1e6U",http://pbs.twimg.com/media/BqGzYoACYAA7NZs.jpg
476483422714863616,2014-06-10 21:57:55,I know what project I'm taking on this summer! Psyched to read #SustainableHomebrewing by @amelialoftus http://t.co/1JeGO99g20,http://pbs.twimg.com/media/BpzPJcMCEAAvbGI.jpg
472047770216329216,2014-05-29 16:12:13,RT @bgershon: #codecon ace photog Asa - has a VERY big lens! http://t.co/OsRLxd8OFc,http://pbs.twimg.com/media/Bo0LDH6CcAArGgK.jpg
471859711189331968,2014-05-29 03:44:56,RT @RyanSeacrest: @dickc did u finish the cookie? Great to see u at #codecon http://t.co/cIjHYWUKDz,http://pbs.twimg.com/media/BowvtfgCcAAjmlD.jpg
471855905198194688,2014-05-29 03:29:49,"RT @Recode: ""The NSA doesn't send a muffin basket saying hey welcome to this thing"" - @drewhouston #codecon http://t.co/BiwSBNdzvk",http://pbs.twimg.com/media/Bow0sngIUAEcrTL.png
471851111754645508,2014-05-29 03:10:46,"RT @nectar_rachel: Nice surprise at #codecon. @TheRyanAdams. Covering the Pointer Sisters, no less. http://t.co/AIEoniA1fF",http://pbs.twimg.com/media/BoxZs5LIYAAdKtQ.jpg
471851053789376512,2014-05-29 03:10:32,RT @Recode: Ryan Adams on stage at #codecon http://t.co/Vjpzblnrun,http://pbs.twimg.com/media/BoxZe1OCQAEjyc_.png
471482266330222593,2014-05-28 02:45:06,RT @jamesjoaquin: Crazy Sergey impersonator crashes #codecon! http://t.co/M1qMkAp9bo,http://pbs.twimg.com/media/BosKh2_IAAABlhZ.jpg
471473660180451328,2014-05-28 02:10:54,RT @jamesjoaquin: This was 100% predicted by #HBOSiliconValley . #CodeCon http://t.co/XThhIq0Fek”,http://pbs.twimg.com/media/BosBKuaCYAAeH9V.jpg
471471736152535040,2014-05-28 02:03:16,RT @Bill_Gross: Google showed new from-scratch self driving car at #CodeCon Pretty amazing: http://t.co/V7smMkD2JT http://t.co/E9tKxGmNOP,http://pbs.twimg.com/media/BosA2NRCMAEBmz7.jpg
471471468870520832,2014-05-28 02:02:12,RT @jguynn: New Google prototype self driving car #codecon http://t.co/ayALjER3UP,http://pbs.twimg.com/media/BosAqYLIMAAGo2V.jpg
471469921730166784,2014-05-28 01:56:03,"Sergey wearing his sungoogleglasses ""now anybody can become a #googleglass explorer! #codecon http://t.co/e1OXWbalR1",http://pbs.twimg.com/media/Bor_ZRtCAAApnKj.jpg
471467531966758912,2014-05-28 01:46:33,.@karaswisher &amp; @WaltMossberg asking Sergey excellent q's...Sergey responding w equal humor &amp; transparency. #codecon http://t.co/AVy3in8n6Z,http://pbs.twimg.com/media/Bor9OK0CUAEGpO2.jpg
471462580809003008,2014-05-28 01:26:53,"Paltrow talking re being an internet celeb #codecon. ""Starts w objectification"" ppl can b cruel without consequences"" http://t.co/pSOVrdXkln",http://pbs.twimg.com/media/Bor4t-jIMAAZwHO.jpg
471453113027526656,2014-05-28 00:49:15,RT @TinaSharkey: Tower of babble solved by microsoft's skype realtime translate pre-beta product demo #codecon http://t.co/NRfatuB6NX,http://pbs.twimg.com/media/BorvwW-IUAAlFy-.jpg
471453014050369536,2014-05-28 00:48:52,RT @ElasticMindsCRC: #Skype real time translation from #MSFT. Ending language barriers!  #codecon @satyanadella http://t.co/XO8qZp1OnW,http://pbs.twimg.com/media/BorvsqRIUAAls4f.jpg
471448925720039424,2014-05-28 00:32:37,Everyone tweeting about the new CEO of Microsoft on their iPhones &amp; Androids. #codecon http://t.co/xek5qVl0FM,http://pbs.twimg.com/media/BorsTIOIQAAo6Sw.jpg
466982852853129217,2014-05-15 16:46:02,RT @theodoracallum: We love that @SophiaBush is sky high wearing @theodoracallum in Cappadocia #Turkey! #tbt http://t.co/8tKtB89xjx,http://pbs.twimg.com/media/BnsNU1sCAAAwnYE.png
466403551800205313,2014-05-14 02:24:06,RT @HeidiCullen: What does the U.S. look like w/ 10ft of sea level rise? Find out: http://t.co/Pz2ZRzQPHb http://t.co/X0rYVHhMWU #climate #…,http://pbs.twimg.com/media/BniENB6CIAAtA5H.jpg
465343837561290752,2014-05-11 04:13:11,Frickin' cool: @DanielHandler aka #lemonysnicket playing accordion for Death Cab for Cutie's @bengibard @826_Valencia http://t.co/EyqSUmnQiW,http://pbs.twimg.com/media/BnU7wLGCUAEhgxf.jpg
464489013521707008,2014-05-08 19:36:25,RT @UNICEF: Every child has the right to play! #childrenofsyria @UNICEFJordan &amp; @MercyCorps playground in #AzraqCamp http://t.co/fOLKbv6izh,http://pbs.twimg.com/media/BnG9BJ7IAAA2ww9.jpg
459766742516899840,2014-04-25 18:51:48,RT @500px: Happy World Penguin Day! (Photo by Tony Beck: http://t.co/HTqaYm2psh) via @500px #cute http://t.co/zN0yG9IHYi,http://pbs.twimg.com/media/BmFiR-HIMAA_bpQ.jpg
458624004845096960,2014-04-22 15:10:58,Happy #EarthDay @JillFehr @AnnaGetty @christianawyly @SamataAngel @AmourVert @globalgreen @C2Ccertified @casinclair http://t.co/SQS7rUtPPF,http://pbs.twimg.com/media/Bl1cGhjCcAE2_Gk.jpg
456069402900058112,2014-04-15 13:59:53,Stunning unisex Game of Thrones evoking @JohnHardy_Bali recycled silver bracelets @C2Ccertified #FierceFashion talk. http://t.co/HAFFePlaM3,http://pbs.twimg.com/media/BlRIsyLIEAAPphj.jpg
456059398969122816,2014-04-15 13:20:08,RT @ecofabulous: William McDonough is talking about #FierceFashion at CFDA. Let's do more good! http://t.co/FtJuOO4UuX,http://pbs.twimg.com/media/BlQ_gWXIIAASfDD.jpg
454485728462774272,2014-04-11 05:06:56,RT @VEEV: No better #coachella pregame than drinking @VEEV on @virginamerica! Complete bliss! RT if you agree!! http://t.co/J5Oud9GFcF,http://pbs.twimg.com/media/Bk6IJ7UCcAE1lVc.jpg
447085477867569152,2014-03-21 19:00:59,RT @ecofabulous: Thankful that @SmartyHealth has been energizing us all week @ted. #TED2014 http://t.co/nwPt2pUBFq,http://pbs.twimg.com/media/BjRdnCOIUAALZKK.jpg
446373763312263168,2014-03-19 19:52:53,Goose bumps at #TED2014. First dance on a bionic limb after the Boston bombing took her leg! http://t.co/2w8BXqSElW,http://pbs.twimg.com/media/BjHWkpcIYAAd8it.jpg
446363478191013889,2014-03-19 19:12:00,RT @marcfmath: LarryPage interviewed by CharlieRose #TED2014: 'we need revolutionary change not incremental change' http://t.co/EH2cfAD4Jl,http://pbs.twimg.com/media/BjHKz40IcAAP-v8.jpg
446356109453193216,2014-03-19 18:42:44,"Charlie Rose interviewing Larry Page Larry ""neuroscience is influencing computer science"". #ted2014 http://t.co/TyWVufNHbX",http://pbs.twimg.com/media/BjHGhDcIIAA76ZH.jpg
445741191733460993,2014-03-18 01:59:16,RT @kvox: Wonderful to see #Malala (from UK). Message to girls: 'believe in yourself.' #TED2014 http://t.co/3JzLndUwxY,http://pbs.twimg.com/media/Bi-W_EnCUAE1LYz.jpg
439077247253626880,2014-02-27 16:39:08,Fantastic show by @thelittleidiot (Moby) last night for @globalgreen. @MaggieGrace &amp; me enjoying the #vegan cuisine http://t.co/seBuw8LsKQ,http://pbs.twimg.com/media/Bhfqbg8CMAEhZUX.jpg
425425841003044864,2014-01-21 00:33:19,#TofuBoss tested out the 1st @C2Ccertified stuffed animal. Gustav passes the chew test! #cradletocradle #ecodog http://t.co/uAj4EIDATx,http://pbs.twimg.com/media/BedqjFnCYAA5B_6.jpg
414985407546130432,2013-12-23 05:06:45,#EcoFashion makes a splash at Westfield in SF with the @AmourVert   #popupshop http://t.co/irC4UEVhaC,http://pbs.twimg.com/media/BcJTB3_CEAAqFKg.jpg
412848363030065152,2013-12-17 07:34:54,"RT @HoneywellBuild: Off the grid but always on: #microgrids provide secure, reliable energy &amp; minimize outages. http://t.co/vJ6OoCYiLK",http://pbs.twimg.com/media/BbOrSMcCUAEdznQ.jpg
